Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 8012
Check size: 128 true took:12763
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 7398
Check size: 128 true took:13780
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 14059
Check size: 128 true took:13800
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 7420
Check size: 128 true took:20757
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 14567
Check size: 128 true took:13696
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 13970
Check size: 128 true took:19714
Number of BE nodes: 3
Number of 1024 char pwds, Total time
Hash size: 128 took: 21915
Check size: 128 true took:17368
