Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 9396
Check size: 128 true took:9823
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 8635
Check size: 128 true took:17017
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 18126
Check size: 128 true took:7619
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 9402
Check size: 128 true took:16457
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 18238
Check size: 128 true took:8968
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 9752
Check size: 128 true took:21408
Number of BE nodes: 4
Number of 1024 char pwds, Total time
Hash size: 128 took: 18655
Check size: 128 true took:18162
